company_name,company_id,locations,industries,size,description,tags,twitter,company_page,job_page,logo_link
Mattel,11859,"East Aurora, NY;El Segundo, CA;Middleton, WI;Montreal, Canada",Consumer Goods & Services;Entertainment & Gaming;Manufacturing,"{'name': 'Large Size', 'short_name': 'large'}","Mattel creates innovative products and experiences that inspire, entertain, and develop children through play.",,,https://www.themuse.com/companies/mattel,https://www.themuse.com/search/jobs/c-mattel,https://assets.themuse.com/uploaded/companies/11859/small_logo.png?v=bb01139a9efb293f6a4ae96daf77cd2a3644ba4671430a9ff2a125240a6b415e
Talend,12290,"Redwood City, CA",Technology,"{'name': 'Small Size', 'short_name': 'small'}",TBD,,,https://www.themuse.com/companies/talend,https://www.themuse.com/search/jobs/c-talend,https://assets.themuse.com/uploaded/companies/12290/small_logo.png?v=d94e58846f5b6edf7714c7dcbfeb74ea6c3b5424c999c8b5d30b75e6d4aab5b0
"Stimulus, Inc.",12276,"Philadelphia, PA",Technology,"{'name': 'Small Size', 'short_name': 'small'}",Stimulus is a relationship intelligence platform that uses data and analytics to help companies of all sizes make better purchasing decisions.,,,https://www.themuse.com/companies/stimulusinc,https://www.themuse.com/search/jobs/c-stimulusinc,https://assets.themuse.com/uploaded/companies/12276/small_logo.png?v=5b7e9cd2a55ce10e284bdba4c8728176adaac716b922f293b4e78b71fca648d8
Thermo Fisher Scientific,15000383,"Carlsbad, CA;Waltham, MA",Biotechnology;Healthtech;Manufacturing;Pharmaceutical,"{'name': 'Large Size', 'short_name': 'large'}","Thermo Fisher Scientific Inc. is the world leader in serving science, with annual revenue of more than $40 billion. Our Mission is to enable our customers to make the world healthier, cleaner and safer. Whether our customers are accelerating life sciences research, solving complex analytical challenges, increasing productivity in their laboratories, improving patient health through diagnostics or the development and manufacture of life-changing therapies, we are here to support them. Our global team delivers an unrivaled combination of innovative technologies, purchasing convenience and pharmaceutical services through our industry-leading brands, including Thermo Scientific, Applied Biosystems, Invitrogen, Fisher Scientific, and more.",,,https://www.themuse.com/companies/thermofisherscientific,https://www.themuse.com/search/jobs/c-thermofisherscientific,https://assets.themuse.com/uploaded/companies/15000383/small_logo.png
State Farm,12221,"Atlanta, GA;Bloomington, IL;Dallas, TX;Phoenix, AZ",Financial Services;Insurance,"{'name': 'Large Size', 'short_name': 'large'}",State Farm helps customers protect the things that matter most to them.,,,https://www.themuse.com/companies/statefarm,https://www.themuse.com/search/jobs/c-statefarm,https://assets.themuse.com/uploaded/companies/12221/small_logo.png?v=ccb7b160aa8635479ac532e32d27b53a15cff8a6afac4d4739767617bb7a49ad
Elastic,12151,"San Francisco, CA",Technology,"{'name': 'Large Size', 'short_name': 'large'}",Elastic takes the power of search and applies it to a variety of use cases.,,,https://www.themuse.com/companies/elastic,https://www.themuse.com/search/jobs/c-elastic,https://assets.themuse.com/uploaded/companies/12151/small_logo.png?v=c00410a8f0981ab6762e4a3f7e7b1d3765a3a7894ca4a3cbcf59b2e44c764e31
Right At School,12175,"Evanston, IL",Arts & Music;Education;Social Good,"{'name': 'Large Size', 'short_name': 'large'}",Right At School is the perfect place for you to blend your passion for students and career growth goals.,,,https://www.themuse.com/companies/rightatschool,https://www.themuse.com/search/jobs/c-rightatschool,https://assets.themuse.com/uploaded/companies/12175/small_logo.png?v=a9dc13a7b8d310914accfc3db479b655e39e56e7ba7122df6803d31046bc57ff
Box,1061,"Austin, TX;New York, NY;San Francisco, CA",Technology,"{'name': 'Large Size', 'short_name': 'large'}","Box helps companies replace outdated technological systems in favor of using the cloud to securely store files, collaborate on content, and access information from anywhere—on any device.",,,https://www.themuse.com/companies/box,https://www.themuse.com/search/jobs/c-box,https://assets.themuse.com/uploaded/companies/1061/small_logo.png?v=3302cdaf8cd3cfe3ecdc4004a503b64234180f12ef13e014c33b7818ade50ac4
Johns Hopkins Police Department,15000510,"Baltimore, MD",Education;Law,"{'name': 'Medium Size', 'short_name': 'medium'}","As a progressive leader in public safety, we are committed to the equitable delivery of police services that prioritize the well-being of our students, faculty, staff, and campus guests. We seek to build a relationship of mutual trust by engaging our community partners as co-creators of a safe and open environment.",,,https://www.themuse.com/companies/johnshopkinspolicedepartment,https://www.themuse.com/search/jobs/c-johnshopkinspolicedepartment,https://assets.themuse.com/uploaded/companies/15000510/small_logo.png
Capital Group,15000215,"Amsterdam, Netherlands;Atlanta, GA;Carmel, IN;Chicago, IL;Frankfurt, Germany;Geneva, Switzerland;Hong Kong;Irvine, CA;London, United Kingdom;Los Angeles, CA;Luxembourg City, Luxembourg;Madrid, Spain;Melbourne, Australia;Menlo Park, CA;Miami, FL;Milan, Italy;Montreal, Canada;Mumbai, India;New York, NY;Norfolk, VA;Reno, NV;San Antonio, TX;San Francisco, CA;Seattle, WA;Shanghai, China;Singapore;Sydney, Australia;Tokyo, Japan;Toronto, Canada;Washington, DC;Zurich, Switzerland",Financial Services,"{'name': 'Large Size', 'short_name': 'large'}","Since 1931, Capital Group associates have been helping people take control of their financial futures. We do so by staying true to our core beliefs, our approach to investing and our commitment to community. Today, we're one of the world's largest investment management organizations, managing $2.2 trillion in assets. We believe a financial goal is more than a number for our clients. It may represent a new home, a small business, a comfortable retirement or a college education. We help our clients go from dreaming to doing by focusing on our core beliefs and being grounded in our core values. In doing so, we have been helping people get from ""Can I?"" to ""I can"" for over 90 years.",,,https://www.themuse.com/companies/capitalgroup,https://www.themuse.com/search/jobs/c-capitalgroup,https://assets.themuse.com/uploaded/companies/15000215/small_logo.png
National Security Agency (NSA),15000272,"Fort Meade, MD",Government,"{'name': 'Large Size', 'short_name': 'large'}",NSA generates foreign intelligence insights and applies its cybersecurity expertise to protect the nation.,,,https://www.themuse.com/companies/nationalsecurityagencynsa,https://www.themuse.com/search/jobs/c-nationalsecurityagencynsa,https://assets.themuse.com/uploaded/companies/15000272/small_logo.png
